secao;nome_secao;co_pais_ison_num;periodo;valor_fob
I;Animais vivos e produtos do reino animal;251;P1;74796899727
I;Animais vivos e produtos do reino animal;524;P1;331232253
I;Animais vivos e produtos do reino animal;724;P1;55905489425
I;Animais vivos e produtos do reino animal;288;P1;3028835659
I;Animais vivos e produtos do reino animal;268;P1;1251309999
I;Animais vivos e produtos do reino animal;276;P1;111367277802
I;Animais vivos e produtos do reino animal;643;P1;34502950412
I;Animais vivos e produtos do reino animal;31;P1;1232049104
I;Animais vivos e produtos do reino animal;40;P1;14428372743
I;Animais vivos e produtos do reino animal;52;P1;337720029
I;Animais vivos e produtos do reino animal;56;P1;38917662933
I;Animais vivos e produtos do reino animal;76;P1;11564021652
I;Animais vivos e produtos do reino animal;96;P1;660062860
I;Animais vivos e produtos do reino animal;124;P1;26095478023
I;Animais vivos e produtos do reino animal;152;P1;8842956567
I;Animais vivos e produtos do reino animal;156;P1;142267663485
I;Animais vivos e produtos do reino animal;170;P1;3377396022
I;Animais vivos e produtos do reino animal;188;P1;1274196388
I;Animais vivos e produtos do reino animal;214;P1;3099172193
I;Animais vivos e produtos do reino animal;218;P1;735933782
I;Animais vivos e produtos do reino animal;222;P1;1899294040
I;Animais vivos e produtos do reino animal;320;P1;2557797789
I;Animais vivos e produtos do reino animal;372;P1;11556922282
I;Animais vivos e produtos do reino animal;380;P1;80799768028
I;Animais vivos e produtos do reino animal;392;P1;113574134032
I;Animais vivos e produtos do reino animal;410;P1;51776555765
I;Animais vivos e produtos do reino animal;414;P1;7481250195
I;Animais vivos e produtos do reino animal;458;P1;14021484990
I;Animais vivos e produtos do reino animal;484;P1;33382195741
I;Animais vivos e produtos do reino animal;504;P1;3253388248
I;Animais vivos e produtos do reino animal;512;P1;6373690915
I;Animais vivos e produtos do reino animal;528;P1;70998692302
I;Animais vivos e produtos do reino animal;566;P1;6568179371
I;Animais vivos e produtos do reino animal;586;P1;1416945218
I;Animais vivos e produtos do reino animal;591;P1;1452373652
I;Animais vivos e produtos do reino animal;600;P1;419724666
I;Animais vivos e produtos do reino animal;604;P1;3028122314
I;Animais vivos e produtos do reino animal;608;P1;14189224082
I;Animais vivos e produtos do reino animal;616;P1;31141436615
I;Animais vivos e produtos do reino animal;634;P1;6299192584
I;Animais vivos e produtos do reino animal;702;P1;15212713536
I;Animais vivos e produtos do reino animal;710;P1;7046112916
I;Animais vivos e produtos do reino animal;757;P1;10275102863
I;Animais vivos e produtos do reino animal;764;P1;22009217559
I;Animais vivos e produtos do reino animal;784;P1;21535700119
I;Animais vivos e produtos do reino animal;826;P1;67265139733
I;Animais vivos e produtos do reino animal;842;P1;160961938316
I;Animais vivos e produtos do reino animal;858;P1;1142757946
I;Animais vivos e produtos do reino animal;862;P1;3602239854
I;Animais vivos e produtos do reino animal;48;P1;2978966200
I;Animais vivos e produtos do reino animal;104;P1;1393101684
I;Animais vivos e produtos do reino animal;344;P1;62703208509
I;Animais vivos e produtos do reino animal;360;P1;13723554112
I;Animais vivos e produtos do reino animal;446;P1;4001767524
I;Animais vivos e produtos do reino animal;480;P1;2767995484
I;Animais vivos e produtos do reino animal;540;P1;435658562
I;Animais vivos e produtos do reino animal;554;P1;2802386239
I;Animais vivos e produtos do reino animal;682;P1;27222976607
I;Animais vivos e produtos do reino animal;32;P1;1265413823
I;Animais vivos e produtos do reino animal;100;P1;4260213913
I;Animais vivos e produtos do reino animal;203;P1;11839933075
I;Animais vivos e produtos do reino animal;422;P1;5704692314
I;Animais vivos e produtos do reino animal;642;P1;9153916254
I;Animais vivos e produtos do reino animal;688;P1;1641936480
I;Animais vivos e produtos do reino animal;12;P1;8185116566
I;Animais vivos e produtos do reino animal;68;P1;261708142
I;Animais vivos e produtos do reino animal;120;P1;1592079803
I;Animais vivos e produtos do reino animal;180;P1;1731116889
I;Animais vivos e produtos do reino animal;208;P1;21011792513
I;Animais vivos e produtos do reino animal;246;P1;5447962602
I;Animais vivos e produtos do reino animal;300;P1;13585027686
I;Animais vivos e produtos do reino animal;348;P1;6664057518
I;Animais vivos e produtos do reino animal;368;P1;11665232985
I;Animais vivos e produtos do reino animal;376;P1;7398893316
I;Animais vivos e produtos do reino animal;400;P1;4864539477
I;Animais vivos e produtos do reino animal;404;P1;821946515
I;Animais vivos e produtos do reino animal;428;P1;2522039866
I;Animais vivos e produtos do reino animal;434;P1;4290504792
I;Animais vivos e produtos do reino animal;442;P1;3294917099
I;Animais vivos e produtos do reino animal;490;P1;22699393829
I;Animais vivos e produtos do reino animal;579;P1;3591765260
I;Animais vivos e produtos do reino animal;620;P1;22531058649
I;Animais vivos e produtos do reino animal;703;P1;6189645939
I;Animais vivos e produtos do reino animal;752;P1;20019380629
I;Animais vivos e produtos do reino animal;792;P1;7534874427
I;Animais vivos e produtos do reino animal;804;P1;4931569546
I;Animais vivos e produtos do reino animal;818;P1;15847411523
I;Animais vivos e produtos do reino animal;72;P1;379753052
I;Animais vivos e produtos do reino animal;516;P1;768138919
I;Animais vivos e produtos do reino animal;800;P1;96105341
I;Animais vivos e produtos do reino animal;364;P1;5863676797
I;Animais vivos e produtos do reino animal;807;P1;1000659341
I;Animais vivos e produtos do reino animal;398;P1;3257288786
I;Animais vivos e produtos do reino animal;36;P1;13034806091
I;Animais vivos e produtos do reino animal;148;P1;42852460
I;Animais vivos e produtos do reino animal;178;P1;1466776796
I;Animais vivos e produtos do reino animal;192;P1;2688619199
I;Animais vivos e produtos do reino animal;340;P1;920578811
I;Animais vivos e produtos do reino animal;384;P1;3698438190
I;Animais vivos e produtos do reino animal;462;P1;789130656
I;Animais vivos e produtos do reino animal;466;P1;476736872
I;Animais vivos e produtos do reino animal;686;P1;1081908602
I;Animais vivos e produtos do reino animal;780;P1;1237684284
